CINMS B,600,34.283333,-120.018611
CINMS C,800,34.318056,-120.801111
DCPP A,65,35.601944,-121.234722
DCPP B,100,35.151667,-120.883611
DCPP C,1000,35.400000,-121.552222
SOCAL E,1300,32.651667,-119.467778
SOCAL R,1200,33.151667,-120.001667
